vvencFFapp: VVenC, the Fraunhofer H.266/VVC Encoder, version 1.11.0-rc1 [Linux][GCC 12.2.0][64 bit][SIMD=AVX]
vvencFFapp [info]: started @ Fri Mar  1 15:30:19 2024
vvenc [verbose]: Input File                             : SourceVideo/source.yuv
vvenc [verbose]: Bitstream File                         : Data/output-threads2-tile4x2-WPP.266
vvenc [verbose]: Real Format                            : 1920x1080  yuv420p  120 Hz  SDR  100 frames
vvenc [verbose]: Frames                                 : encode 100 frames 
vvenc [verbose]: Internal format                        : 1920x1080  120 Hz  SDR
vvenc [verbose]: Threads                                : 2  (parallel frames: 2)
vvenc [verbose]: Rate control                           : QP 32
vvenc [verbose]: Perceptual optimization                : Disabled
vvenc [verbose]: Intra period (keyframe)                : 32
vvenc [verbose]: Decoding refresh type                  : CRA
vvenc [verbose]: Sequence PSNR output                   : Linear average only
vvenc [verbose]: Hexadecimal PSNR output                : Disabled
vvenc [verbose]: Sequence MSE output                    : Disabled
vvenc [verbose]: Frame MSE output                       : Disabled
vvenc [verbose]: Cabac-zero-word-padding                : Enabled
vvenc [verbose]: Frame index                            : all frames
vvenc [verbose]: Profile                                : main_10
vvenc [verbose]: Level                                  : 5
vvenc [verbose]: CU size                                : 128
vvenc [verbose]: Max TB size                            : 64
vvenc [verbose]: Min CB size                            : 4
vvenc [verbose]: Motion search range                    : 384
vvenc [verbose]: QP                                     : 32
vvenc [verbose]: Max dQP signaling subdiv               : 0
vvenc [verbose]: Cb QP Offset (dual tree)               : 0 (0)
vvenc [verbose]: Cr QP Offset (dual tree)               : 0 (0)
vvenc [verbose]: GOP size                               : 32
vvenc [verbose]: PicReordering                          : 1
vvenc [verbose]: Input bit depth                        : (Y:8, C:8)
vvenc [verbose]: MSB-extended bit depth                 : (Y:8, C:8)
vvenc [verbose]: Internal bit depth                     : (Y:8, C:8)
vvenc [verbose]: cu_chroma_qp_offset_subdiv             : -1
vvenc [verbose]: log2_sao_offset_scale_luma             : 0
vvenc [verbose]: log2_sao_offset_scale_chroma           : 0
vvenc [verbose]: Cost function:                         : Lossy coding

vvenc [verbose]: CODING TOOL CFG: CTU128 QTMin44BTT21 IBD:0 SAO:1 ALF:1 (NonLinLuma:0 NonLinChr:0) CCALF:1 Tiles:4x2 Slices:1 WPP:1 WPP-Substreams:9 TMVP:1 DQ:1 SDH:0 CST:1 BDOF:1 DMVR:1 MTSImplicit:1 SBT:0 JCbCr:1 CabacInitPresent:0 AMVR:5 SMVD:3 LMCS:2 (Signal:SDR Opt:0) CIIP:0 MIP:1 AFFINE:4 (PROF:1, Type:1) MMVD:3 DisFracMMVD:1 SbTMVP:1 GPM:3 LFNST:1 MTS:0 ISP:3 TS:2 TSLog2MaxSize:4 useChromaTS:0 BDPCM:2 IBC:2 BCW:0 
vvenc [verbose]: ENC. ALG. CFG: QPA:0 HAD:1 RDQ:1 RDQTS:1 ASR:1 MinSearchWindow:96 EDO:2 MCTF:2 BIM:1 
vvenc [verbose]: PRE-ANALYSIS CFG: STA:1 LeadFrames:0 TrailFrames:0 
vvenc [verbose]: FAST TOOL CFG: ECU:0 FEN:3 FDM:1 FastSearch:4 (SCC:2) LCTUFast:1 FastMrg:2 PBIntraFast:1 AMaxBT:0 FastQtBtEnc:1 ContentBasedFastQtbt:1 FastMIP:3 FastIntraTools:1 IntraEstDecBit:2 FastLocalDualTree:1 IntegerET:0 FastSubPel:1 ReduceFilterME:2 QtbttExtraFast:3 FastTTSplit:5 IBCFastMethod:3 FIM:0 ALFSpeed:0 QuantThr:4 SelectiveRDQO:0 
vvenc [verbose]: RATE CONTROL CFG: RateControl:0 QP:32 LookAhead:0 FirstPassMode:0 
vvenc [verbose]: PARALLEL PROCESSING CFG: NumThreads:2 MaxParallelFrames:2 IFP:0 (IFPLines:0) TileParallelCtuEnc:1 WppBitEqual:1 WF:1 

POC    31 TId: 0 (IDR_W_RADL, I-SLICE, QP 27, TF 2)     423592 bits [Y 41.9463 dB    U 41.8599 dB    V 42.8184 dB] [ET    13 ] [L0 ] [L1 ]
POC    15 TId: 1 (      RADL, B-SLICE, QP 32, TF 1)      10120 bits [Y 41.5992 dB    U 41.6449 dB    V 42.7525 dB] [ET     1 ] [L0 31 ] [L1 31 ]
POC     7 TId: 2 (      RADL, B-SLICE, QP 34, TF 0)       4928 bits [Y 41.5818 dB    U 41.6453 dB    V 42.7546 dB] [ET     1 ] [L0 15 31 ] [L1 15 31 ]
POC     3 TId: 3 (      RADL, B-SLICE, QP 37)             2584 bits [Y 41.4867 dB    U 41.5333 dB    V 42.7138 dB] [ET     1 ] [L0 7 15 ] [L1 7 15 ]
POC     1 TId: 4 (      RADL, B-SLICE, QP 40)             1944 bits [Y 41.3562 dB    U 41.4866 dB    V 42.6829 dB] [ET     0 ] [L0 3 7 ] [L1 3 7 ]
POC     0 TId: 5 (      RADL, B-SLICE, QP 41)             1336 bits [Y 41.2653 dB    U 41.4360 dB    V 42.6828 dB] [ET     0 ] [L0 1 ] [L1 1 ]
POC     2 TId: 5 (      RADL, B-SLICE, QP 41)             1096 bits [Y 41.4016 dB    U 41.5071 dB    V 42.7140 dB] [ET     0 ] [L0 1 ] [L1 3 ]
POC     5 TId: 4 (      RADL, B-SLICE, QP 40)             1424 bits [Y 41.4561 dB    U 41.5627 dB    V 42.7384 dB] [ET     0 ] [L0 3 7 ] [L1 7 15 ]
POC     4 TId: 5 (      RADL, B-SLICE, QP 41)              960 bits [Y 41.4197 dB    U 41.5455 dB    V 42.7329 dB] [ET     0 ] [L0 3 ] [L1 5 ]
POC     6 TId: 5 (      RADL, B-SLICE, QP 41)              944 bits [Y 41.5033 dB    U 41.6035 dB    V 42.7551 dB] [ET     0 ] [L0 5 ] [L1 7 ]
POC    11 TId: 3 (      RADL, B-SLICE, QP 37)             2480 bits [Y 41.5293 dB    U 41.6111 dB    V 42.7461 dB] [ET     1 ] [L0 7 15 ] [L1 15 31 ]
POC     9 TId: 4 (      RADL, B-SLICE, QP 40)             1752 bits [Y 41.5062 dB    U 41.5994 dB    V 42.7296 dB] [ET     0 ] [L0 7 11 ] [L1 11 15 ]
POC     8 TId: 5 (      RADL, B-SLICE, QP 41)              984 bits [Y 41.4854 dB    U 41.6190 dB    V 42.7415 dB] [ET     0 ] [L0 7 ] [L1 9 ]
POC    10 TId: 5 (      RADL, B-SLICE, QP 41)             1192 bits [Y 41.4427 dB    U 41.5760 dB    V 42.7214 dB] [ET     0 ] [L0 9 ] [L1 11 ]
POC    13 TId: 4 (      RADL, B-SLICE, QP 40)             1896 bits [Y 41.4778 dB    U 41.5885 dB    V 42.7131 dB] [ET     0 ] [L0 11 7 ] [L1 15 31 ]
POC    12 TId: 5 (      RADL, B-SLICE, QP 41)             1168 bits [Y 41.4633 dB    U 41.5903 dB    V 42.7112 dB] [ET     0 ] [L0 11 ] [L1 13 ]
POC    14 TId: 5 (      RADL, B-SLICE, QP 41)             1184 bits [Y 41.4512 dB    U 41.5882 dB    V 42.7437 dB] [ET     1 ] [L0 13 ] [L1 15 ]
POC    23 TId: 2 (      RADL, B-SLICE, QP 34, TF 0)       5168 bits [Y 41.6234 dB    U 41.6541 dB    V 42.6895 dB] [ET     2 ] [L0 15 31 ] [L1 31 15 ]
POC    19 TId: 3 (      RADL, B-SLICE, QP 37)             3152 bits [Y 41.5204 dB    U 41.5837 dB    V 42.6713 dB] [ET     1 ] [L0 15 23 ] [L1 23 31 ]
POC    17 TId: 4 (      RADL, B-SLICE, QP 40)             2152 bits [Y 41.4888 dB    U 41.5738 dB    V 42.6549 dB] [ET     0 ] [L0 15 19 ] [L1 19 23 ]
POC    16 TId: 5 (      RADL, B-SLICE, QP 41)             1560 bits [Y 41.4475 dB    U 41.5737 dB    V 42.7004 dB] [ET     0 ] [L0 15 ] [L1 17 ]
POC    18 TId: 5 (      RADL, B-SLICE, QP 41)             1568 bits [Y 41.4365 dB    U 41.5525 dB    V 42.6712 dB] [ET     0 ] [L0 17 ] [L1 19 ]
